genus	abstract	link
Actinobaculum	Ac.ti.no.ba'cu.lum. Gr. n. actis, actinos ray; L. neut. n. baculum rod, stick; N.L. neut. n. Actinobaculum ray stick. Actinobacteria / Actinobacteria / Actinomycetales / Actinomycetaceae / Actinobaculum On blood agar, cells are straight to slightly curved rods, some of which exhibit branching. Cells are Gram-stain-positive, not acid-fast, and nonmotile and do not form spores. Anaerobic or facultatively anaerobic. Catalase-negative. Acid may or may not be produced from glucose. The major end product of glucose and/or maltose metabolism is acetate or lactate. Esculin and gelatin are not hydrolyzed. Nitrate is not reduced to nitrite. Acetoin is not produced. The cell-wall murein type is type A5a (L-Lys–L-Ala–Lys–D-Glu or L-Lys–Lys–D-Glu). The major long-chain cellular fatty acids are straight-chain saturated and monounsaturated components. DNA G+C content (mol%): 55–57 (T m). Type species: Actinobaculum suis (Wegienek and Reddy 1982) Lawson, Falsen, Åkervall, Vandamme and Collins 1997, 902VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00011/abstract
Actinomyces	Ac.ti.no.my'ces. Gr. fem. n. aktis, aktinos ray; Gr. masc. n. mukês fungus; N.L. masc. n. Actinomyces ray fungus referring to the radial arrangement of filaments in Actinomyces bovis sulfur granules. Actinobacteria / Actinobacteria / Actinomycetales / Actinomycetaceae / Actinomyces Straight or slightly curved rods, 0.2–1.0 µm in diameter, which vary considerably in shape and size, and slender filaments, 1 µm or less in width and 10–50 µm or more in length, with true branching. Short rods (0.5–5.0 µm in length) with or without clubbed ends are frequently seen and may occur singly, in pairs with diphtheroidal arrangements (Y, V, T forms and palisades), in short chains or in small clusters. Longer (5.0–10.0 µm in length) branched rods are also common. Several members of the genus appear chiefly or exclusively as coccobacillary or even coccoid elements. Filaments which may predominate in certain species are either straight or wavy, show varying degrees of branching and may have swollen, clubbed, or clavate ends. Gram-stain-positive, but irregular staining giving rise to a beaded or barred appearance frequently occurs, and two species may be Gram-stain-variable. Non-acid-fast, nonmotile, and non-endospore-forming. Conidia are not produced. DNA G+C content (mol%): 55–71 (T m, HPLC). Type species: Actinomyces bovis Harz 1877, 133AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00012/abstract
Arcanobacterium	Ar.ca.no.bac.te'ri.um. L. adj. arcanus secret, hidden, secretive; L. neut. n. bacterium a small rod; N. L. neut. n. Arcanobacterium secretive bacterium. Actinobacteria / Actinobacteria / Actinomycetales / Actinomycetaceae / Arcanobacterium Slender, irregular, bacillary forms predominate during the first 18 h of growth; many cells are arranged at an angle to give V-formations. As growth proceeds cells become granular and segmented so that they resemble small and irregular cocci. Both rods and coccoid cells are Gram-stain-positive, non-acid fast and non-motile; endospores are not formed. Facultatively anaerobic; growth is considerably enhanced in an atmosphere of increased CO2-tension. Growth is sparse on ordinary media but enhanced by blood or serum. The optimum temperature for growth is 37°C. Organisms will not withstand heating at 60°C for 15 min. Chemoorganotrophic, having a fermentative type of carbohydrate metabolism. Fermentation end products include acetic and lactic acids; the amount of succinic acid produced may vary from species to species and may even be difficult to detect. Catalase-negative. Nitrate reduction is usually negative. Characteristic amino acids of the cell-wall peptidoglycan of those species whose peptidoglycan has been examined in detail are based on L-lysine. Other chemotaxonomic properties include rhamnose as diagnostic whole-cell sugar, lack of mycolic acids and N-acetylated muramic acid residue of the peptidoglycan. DNA G+C content (mol%): 50–63.8 (T m, HPLC). Type species: Arcanobacterium haemolyticum Collins, Jones and Schofield 1983, 438VP (Effective publication: Collins, Jones and Schofield 1982b, 1280).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00013/abstract
Mobiluncus	Mo.bi.lun'cus. L. adj. mobilis capable of movement, active; L. masc. n. uncus hook; N.L. masc. n. Mobiluncus a motile curved rod. Actinobacteria / Actinobacteria / Actinomycetales / Actinomycetaceae / Mobiluncus Curved rods with tapered ends, 1–5 × 0.4–0.6 µm. Depending on the growth medium, cells occur singly or in pairs with a gullwing appearance. Gram-stain-negative or Gram-stain-variable. Cells are motile by means of multiple subpolar flagella (exact numbers are yet to be determined, but are thought to be between one and eight), and possess a multi-layered Gram-stain-positive cell-wall type. Endospores are not formed. Anaerobic, growing best in an enriched CO2 atmosphere. Some strains become aerotolerant after several passages, being able to grow in a partially reduced atmosphere containing 5% O2. Optimum growth at 35–37°C, with no or poor growth at 20, 43, or 45°C. Growth is stimulated by horse or rabbit serum and by whole blood. Growth is not stimulated by formate/fumarate. Slow growth on solid media. After 3 d incubation at 37°C, colonies on peptone/yeast extract/glucose/sheep blood or Columbia agar supplemented with human blood are pin-point to 1 mm in diameter. After 5 d, the colonies are larger, 1–2.5 mm in diameter, and gray-white or slightly yellowish. Cells are killed by heating at 55°C for 15 minutes. Oxidase- and catalase-negative. Weakly (terminal pH 5.5–6.5) or strongly (terminal pH <5.5) saccharolytic. Fermentation products include acetic and succinic acids, with or without lactic acid, when grown in peptone/yeast extract/glucose medium. Propionic acid is not produced. Do not produce acid from L-arabinose, D-arabitol, lactose, mannitol, methyl-β-D-galactopyranoside, or sorbitol. Negative for alkaline phosphatase, α-arabinosidase, chymotrypsin, β-galactosidase-6-phosphate, β-glucosidase, trypsin, and urease (RapID 32Strep), cysteine arylamidase, lipase (C14), α-mannosidase, β-mannosidase, N-acetyl-β-glucosaminidase, glutamyl glutamic acid arylamidase, pyroglutamic acid, and valine arylamidase activity. Variable activity for phenylalanine arylamidase (weak- to strong-positive reaction). Acid phosphatase- and pyrollydonyl arylamidase-negative. Acetoin is not produced. Gelatin is not hydrolyzed. Nitrate may be reduced. Sensitive to ampicillin, cefazolin, cefoxitin, cephalothin, clindamycin, gentamicin, imipenem, moxalactam, penicillin G, rifampin, streptomycin, tobramycin, vancomycin, and virginiamycin. Resistant to colistin, cycloserine, nalidixic acid, neomycin, and mezlocillin. Associated with the human vaginal flora and bacterial vaginosis (BV). DNA G+C content (mol%): 49–52 (T m; Spiegel and Roberts, 1984a); 50–54 (T m; Hammann et al., 1984). Type species: Mobiluncus curtisii Spiegel and Roberts 1984a, 181VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00014/abstract
Varibaculum	Va.ri.ba'cu.lum. L. adj. varus bent, crooked; L. neut. n. baculum a small rod; N.L. neut. n. Varibaculum small bent rod. Actinobacteria / Actinobacteria / Actinomycetales / Actinomycetaceae / Varibaculum Short, straight or curved diphtheroidal cells. Gram-stain-positive. Non-acid-fast. Non-spore-forming. Nonmotile. Facultatively anaerobic, may grow poorly in air and air plus 5% CO2. Colonies are tiny, nondescript, and non-hemolytic. Catalase-negative. End products of glucose metabolism are lactic and succinic acids with small amounts of acetic acid. Acid is produced from glucose and some other sugars. Hippurate is hydrolyzed, but esculin, gelatin, and starch are not. Acetoin is not produced. Leucine arylamidase and α-glucosidase are weakly positive. Arginine dihydrolase, indole, pyrazinaminidase, and urease-negative. Most isolates reduce nitrate to nitrite. Major fatty acids are C16:0, C18:0, C18:1 ω9c, and C18:2 ω6,9c. DNA G+C content (mol%): 51.7 (HPLC). Type species: Varibaculum cambriense Hall, Collins, Lawson, Hutson, Falsen, Inganas and Duerden 2003e, 644VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00015/abstract
Actinopolyspora	Ac.ti.no.po.ly.spo'ra. Gr. n. aktis -inos ray; Gr. adj. polus many; Gr. fem. n. spora seed and in biology a spore; N.L. fem. n. Actinopolyspora the many-spored ray (fungus). Actinobacteria / Actinobacteria / Actinopolysporales / Actinopolysporaceae / Actinopolyspora Aerobic, Gram-stain-positive, acid-fast, nonmotile actinomycetes that form an extensively branched substrate mycelium about 1 µm in diameter. Fragmentation of the substrate mycelium is occasionally observed near the colony center, but substrate hyphae are mostly non-fragmented. Sporophores containing 10 or more smooth-walled coccobacillary and coccoid spores are produced basipetally on aerial hyphae. Spores are not observed on the substrate mycelium. Chemoorganotrophic and halophilic; 10–20% (w/v) NaCl is required for optimal growth. Temperature growth range is 30–50°C. Whole-organism hydrolyzates contain meso-diaminopimelic acid (meso-A2pm), arabinose, and galactose. Muramic acid moieties are N-acetylated. Cells contain phosphatidylcholine as the diagnostic phospholipid and are rich in branched-chain fatty acids, notably C17:0 anteiso and C15:0 iso, but lack mycolic acids. The predominant menaquinones are MK-9(H4) and MK-9(H6). DNA G+C content (mol%): 64–68 (HPLC, T m). Type species: Actinopolyspora halophila Gochnauer, Leppard, Komaratat, Kates, Novitsky and Kushner 1975, 1510AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00016/abstract
Aeriscardovia	Aer.i.scar.do'vi.a. L. masc. n. aer, aeris air; N.L. fem. n. Scardovia a bacterial generic name to honor Vittorio Scardovi, an Italian microbiologist; N.L. fem. n. Aeriscardovia cells similar to those of the genus Scardovia that can grow in air. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Aeriscardovia Gram-stain-positive, catalase- and oxidase-negative, nonmotile, non-spore-forming actinomycete that forms short and irregularly shaped rods. Optimal growth occurs under anaerobic conditions, with aerobic growth yielding elongated cells. Isolated from a porcine cecum. 16S rRNA and HSP60 gene sequence comparisons indicate that Aeriscardovia belongs to the family Bifidobacteriaceae. Only the type species, Aeriscardovia aeriphila, has been described. DNA G+C content (mol%): 54.7 (HPLC). Type species: Aeriscardovia aeriphila Simpson, Ross, Fitzgerald and Stanton 2004, 405VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00017/abstract
Alloscardovia	Al.lo.scar.do'vi.a. Gr. adj. allos different; N.L. fem. n. Scardovia a bacterial generic name; N.L. fem. n. Alloscardovia an organism related to, but different from, Scardovia and related genera. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Alloscardovia Gram-stain-positive, catalase- and oxidase-negative, nonmotile, non-spore-forming actinomycete that forms short irregularly shaped rods. Optimal growth occurs under anaerobic conditions on modified Columbia agar (MCA) or modified de Man–Rogosa–Sharpe medium (mMRS) after 24 h at 37°C, but slow aerobic growth (72 h), producing pinpoint-sized colonies, is also observed on MCA. Isolated from various human clinical samples, but data are not currently available on potential pathogenic relevance or virulence factors. On the basis of 16S rRNA and HSP60 gene sequence analyses, Alloscardovia represents a new genus of the family Bifidobacteriaceae. Only one species has been described, Alloscardovia omnicolens. DNA G+C content (mol%): 47.8 ± 0.5 (T m). Type species: Alloscardovia omnicolens Huys, Vancanneyt, D'Haene, Falsen, Wauters and Vandamme 2007, 1445VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00018/abstract
Bifidobacterium	Bi.fi.do.bac.te'ri.um. L. adj. bifidus cleft, divided; L. neut. n. bacterium a small rod; N.L. neut. n. Bifidobacterium a cleft rodlet. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Bifidobacterium Rods of various shapes: short, regular, thin cells with pointed ends, coccoidal regular cells, or long cells with slight bends or protuberances or with a large variety of branching; pointed, with slightly bifurcated club-shaped or spatulated extremities; may occur singly or in chains of many elements; may occur in star-like aggregates or in “V” or “palisade” arrangements. Colonies are smooth, convex with entire edges, cream to white, glistening, and of soft consistency. Gram-stain-positive, non-acid-fast, nonsporeforming, and nonmotile. Cells often stain irregularly with methylene blue. Anaerobic; some species can tolerate O2, but only in the presence of CO2 and the more recently described species, such as Bifidobacterium psychraerophilum, Bifidobacterium scardovii, and Bifidobacterium tsurumiense, can grow under aerobic conditions (Okamoto et al., 2008). Optimum growth temperature is 37–41°C, except for Bifidobacterium mongoliense, which exhibits an optimal growth temperature of 30°C; minimum growth temperature is 25–28°C, with the exception of Bifidobacterium mongoliense and Bifidobacterium psychraerophilum, which can grow at 15°C and 8°C, respectively; maximum growth temperature is 43–45°C, with the exception of Bifidobacterium thermacidophilum, which exhibits a maximal growth temperature of 49.5°C. Growth at 45°C seems to discriminate between animal and human strains, since most of the animal but not the human strains are able to grow at this temperature (Gavini et al., 1991). Optimum pH for initial growth is 6.5–7.0; does not grow at pH 4.5–5.0 (except for Bifidobacterium thermacidophilum, which can grow at pH 4.5) or pH 8.0–8.5. DNA G+C content (mol%): 47–67 (Bd or T m). Type species: Bifidobacterium bifidum (Tissier 1900) OrlaJensen 1924, 472AL (Bacillus bifidus Tissier 1900, 86).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00019/abstract
Gardnerella	Gard.ner.el'la. N.L. fem. dim. n. Gardnerella named after H.L. Gardner. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Gardnerella Pleomorphic rods ~0.5 µm in diameter and 1.5–2.5 µm in length. Filaments do not occur. Neither capsules nor endospores are formed. Gram-stain-negative to Gram-stain-variable. Nonmotile. Facultatively anaerobic. Fastidious in growth requirements. Catalase- and oxidase-negative. Chemo-organotrophic, with a fermentative type of metabolism. Acid, but no gas, is produced from a variety of carbohydrates, including maltose and starch. Acetic acid is the major product of fermentation. Hippurate is hydrolyzed. Human blood, but not sheep blood, is hemolyzed. Found in the human genital and urinary tracts. DNA G+C content (mol%): 42–44 (Bd). Type species: Gardnerella vaginalis (Gardner and Dukes 1 9 5 5) Greenwood and Pickett 1 9 8 0, 176VP (Haemophilus vaginalis Gardner and Dukes 1 9 5 5, 963).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00020/abstract
Metascardovia	Me.ta.scar.do'vi.a. Gr. adv. meta besides; N.L. fem. n. Scardovia a bacterial genus name; N.L. fem. n. Metascardovia a genus besides Scardovia. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Metascardovia Gram-stain-positive, facultatively anaerobic actinomycete that produces short and irregular shaped rods. F6PPK-positive; catalase- and oxidase-negative. Growth occurs at 25°C and 45°C (optimal at 37°C). Able to grow on cadmium fluoride acriflavin tellurite (CFAT) and Lactobacillus selection (LBS) agars (Okamoto et al., 2007a). Fermentation products from glucose are acetic and L-(+)-lactic acids in the molar ratio 3:2. 16S rRNA and HSP60 gene sequence data place Metascardovia in the family Bifidobacteriaceae. One species, Metascardovia criceti, has been described. DNA G+C content (mol%): 53 (T m). Type species: Metascardovia criceti Okamoto, Benno, Leung and Maeda 2007b, 2449VP (Effective publication: Okamoto, Benno, Leung and Maeda 2007a, 752.).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00021/abstract
Parascardovia	Pa.ra.scar.do'vi.a. Gr. prep. para beside, alongside of, near, like; N.L. fem. n. Scardovia a bacterial generic name; N.L. fem. n. Parascardovia resembling Scardovia. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Parascardovia Gram-stain-positive, non-acid-fast. Nonsporeforming. Nonmotile, small, slender rods of variable shape. Anaerobic. Saccharoclastic. Glucose is degraded exclusively and characteristically by the fructose 6-phosphate (F6PPK; EC 4.1.2.22) shunt (see treatment of the genus Bifidobacterium, above). Fermentation products from glucose are acetic acid and L-(+)-lactic acid in the molar ratio of 2:1. Dextran is fermented by most strains. Found in human dental caries and plaque. 16S rRNA and HSP60 gene sequence analyses have shown that the genus Parascardovia belongs to the family Bifidobacteriaceae. The type and only species is Parascardovia denticolens. DNA G+C content (mol%): 55 ± 1 (T m). Type species: Parascardovia denticolens (Crociani, Biavati, Alessandrini, Chiarini and Scardovi 1996) Jian and Dong 2002, 811VP (Bifidobacterium denticolens Crociani, Biavati, Alessandrini, Chiarini and Scardovi 1996, 570).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00022/abstract
Scardovia	Scar.do'vi.a. N.L. fem. n. Scardovia named after Vittorio Scardovi, an Italian microbiologist who has made many contributions to our knowledge of bifidobacteria. Actinobacteria / Actinobacteria / Bifidobacteriales / Bifidobacteriaceae / Scardovia Gram-stain-positive, non-acid-fast. Nonsporeforming. Nonmotile, anaerobic, rod-shaped cells that are small and coccoid and of variable shape. Saccharoclastic. Glucose is degraded exclusively and characteristically through the fructose 6-phosphate (F6PPK; EC 4.1.2.22) shunt (see treatment of the genus Bifidobacterium, above). The products from glucose fermentation are L-(+)-lactic acid and acetic acid in the molar ratio of 1:2.9. Dextran is fermented. Found in human dental caries and plaque. DNA G+C content (mol%): 45 ± 1 (T m). Type species: Scardovia inopinata (Crociani, Biavati, Alessandrini, Chiarini and Scardovi 1996) Jian and Dong 2002, 811VP (Bifidobacterium inopinatum Crociani, Biavati, Alessandrini, Chiarini and Scardovi 1996, 569).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00023/abstract
Actinospica	Ac.ti.no.spi'ca. Gr. n. aktis -inos a ray; L. fem. n. spica tuft; N.L. fem. n. Actinospica an actinomycete with tufts of aerial hyphae. Actinobacteria / Actinobacteria / Catenulisporales / Actinospicaceae / Actinospica Strains produce nonfragmenting vegetative mycelium and aerial mycelium appearing as tufts of straight to slightly flexuous hyphae, at maturity carrying chains of cylindrical spores with a slightly rugose surface. Chains contain up to 30 (or more) spores. Tufts originate from very short sporophorous hyphae branching in few sporogenous hyphae (Figure 1 and Figure 2). Spores are not motile. DNA G+C content (mol%): 69–71 (HPLC). Type species: Actinospica robiniae Cavaletti, Monciardini, Schumann, Rohde, Bamonte, Busti, Sosio and Donadio 2006, 1752VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00024/abstract
